groove_fit_rmsd_A,model_key,panel_id,status
0.30867622080134405,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,pass
0.1928273131266982,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,pass
0.1809922107254392,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s2,HY13_SEQ_02,pass
0.1976663113531563,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s3,HY13_SEQ_02,pass
0.16569128931520427,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s4,HY13_SEQ_02,pass
0.1768026847952934,HY13_SEQ_02__ebv__EBV_IEDB_2fbac9820d7d__s0,HY13_SEQ_02,pass
0.20969030202329075,HY13_SEQ_02__ebv__EBV_IEDB_2fbac9820d7d__s1,HY13_SEQ_02,pass
0.1803875183167148,HY13_SEQ_02__ebv__EBV_IEDB_2fbac9820d7d__s2,HY13_SEQ_02,pass
0.17890706205359228,HY13_SEQ_02__ebv__EBV_IEDB_2fbac9820d7d__s3,HY13_SEQ_02,pass
0.21490193988595147,HY13_SEQ_02__ebv__EBV_IEDB_2fbac9820d7d__s4,HY13_SEQ_02,pass
0.15427033046468555,HY13_SEQ_02__ebv__EBV_IEDB_339d4044147d__s0,HY13_SEQ_02,pass
0.17818602540419312,HY13_SEQ_02__ebv__EBV_IEDB_339d4044147d__s1,HY13_SEQ_02,pass
0.14104171971740426,HY13_SEQ_02__ebv__EBV_IEDB_339d4044147d__s2,HY13_SEQ_02,pass
0.1779823156760868,HY13_SEQ_02__ebv__EBV_IEDB_339d4044147d__s3,HY13_SEQ_02,pass
0.16419210740280474,HY13_SEQ_02__ebv__EBV_IEDB_339d4044147d__s4,HY13_SEQ_02,pass
9.130120445753412e-15,HY13_SEQ_02__ebv__EBV_IEDB_35bb9c18fac4__s0,HY13_SEQ_02,pass
0.13086402655047014,HY13_SEQ_02__ebv__EBV_IEDB_35bb9c18fac4__s1,HY13_SEQ_02,pass
0.11038539233489657,HY13_SEQ_02__ebv__EBV_IEDB_35bb9c18fac4__s2,HY13_SEQ_02,pass
0.1426522994460757,HY13_SEQ_02__ebv__EBV_IEDB_35bb9c18fac4__s3,HY13_SEQ_02,pass
0.12024039346595834,HY13_SEQ_02__ebv__EBV_IEDB_35bb9c18fac4__s4,HY13_SEQ_02,pass
0.2880396834020877,HY13_SEQ_02__ebv__EBV_IEDB_770af30bc486__s0,HY13_SEQ_02,pass
0.2480865362031518,HY13_SEQ_02__ebv__EBV_IEDB_770af30bc486__s1,HY13_SEQ_02,pass
0.2214774839560132,HY13_SEQ_02__ebv__EBV_IEDB_770af30bc486__s2,HY13_SEQ_02,pass
0.2519434184785843,HY13_SEQ_02__ebv__EBV_IEDB_770af30bc486__s3,HY13_SEQ_02,pass
