minimum_clearance_A,model_key,panel_id,point_count,solvent_accessible_fraction,solvent_accessible_point_count,status
1.2014727095805124,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,25,1.0,25,pass
1.305093269902076,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1,HY03_SEQ_01,25,1.0,25,pass
1.2656372945472718,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2,HY03_SEQ_01,25,1.0,25,pass
0.7396449266947465,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3,HY03_SEQ_01,25,1.0,25,pass
1.2116822653272088,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4,HY03_SEQ_01,25,1.0,25,pass
0.9638345922670983,HY03_SEQ_01__ebv__EBV_IEDB_090bd09c6880__s0,HY03_SEQ_01,25,1.0,25,pass
0.28271042010456826,HY03_SEQ_01__ebv__EBV_IEDB_090bd09c6880__s1,HY03_SEQ_01,25,1.0,25,pass
1.4361940948471155,HY03_SEQ_01__ebv__EBV_IEDB_090bd09c6880__s2,HY03_SEQ_01,25,1.0,25,pass
0.2660409192597881,HY03_SEQ_01__ebv__EBV_IEDB_090bd09c6880__s3,HY03_SEQ_01,25,1.0,25,pass
1.0731853867184364,HY03_SEQ_01__ebv__EBV_IEDB_090bd09c6880__s4,HY03_SEQ_01,25,1.0,25,pass
0.25818046880639756,HY03_SEQ_01__ebv__EBV_IEDB_156b80230e03__s0,HY03_SEQ_01,25,1.0,25,pass
1.1021181859900033,HY03_SEQ_01__ebv__EBV_IEDB_156b80230e03__s1,HY03_SEQ_01,25,1.0,25,pass
0.8968122525394926,HY03_SEQ_01__ebv__EBV_IEDB_156b80230e03__s2,HY03_SEQ_01,25,1.0,25,pass
0.3064634731162461,HY03_SEQ_01__ebv__EBV_IEDB_156b80230e03__s3,HY03_SEQ_01,25,1.0,25,pass
0.33941658106633366,HY03_SEQ_01__ebv__EBV_IEDB_156b80230e03__s4,HY03_SEQ_01,25,1.0,25,pass
1.0847826308358588,HY03_SEQ_01__ebv__EBV_IEDB_2fbac9820d7d__s0,HY03_SEQ_01,25,1.0,25,pass
1.0880202325540744,HY03_SEQ_01__ebv__EBV_IEDB_2fbac9820d7d__s1,HY03_SEQ_01,25,1.0,25,pass
0.27240379624958067,HY03_SEQ_01__ebv__EBV_IEDB_2fbac9820d7d__s2,HY03_SEQ_01,25,1.0,25,pass
0.780506732429934,HY03_SEQ_01__ebv__EBV_IEDB_2fbac9820d7d__s3,HY03_SEQ_01,25,1.0,25,pass
